code_site	Itineraire	X	Y	commune	cours_eau	date_visite	Annee	Mois	Jour	observateurs	statut_observation	description	observation	bilan_choix_site	nombre_epreinte	nb_ep_tot	nb_ep_w	nb_ep_dnf	nb_ep_df
732	3	48.58358,	-3.52669	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
74	2	48.62057	 -3.54953	Plufur	Yar (Dour Elego)	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
79	3	48.614383	 -3.535376	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
80	1	48.572,	 -3.574	Plounérin	Yar	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
84	1	48.567684	 -3.568024	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
85	1	48.567294	 -3.563966	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Très favorable	NA	1	NA	NA	NA
86	1	48.566896	 -3.561653	Plounérin	Yar	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
91	1	48.669011	 -3.595285	Saint Efflam	Quinquis	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
93	2	48.64606	 -3.57688	Plestin les Grèves	Yar (Dour Elego)	NA	2020	10	NA	NA	1	NA	NA	Favorable	NA	1	NA	NA	NA
97	4	48.646675	 -3.523823	Plouzélambre	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
98	4	48.63718	 -3.52098	Plouzélambre	Roscoat	NA	2020	10	NA	NA	Peut-être	NA	Marquage urinaire	Favorable	NA	Peut-être	NA	NA	NA
108	4	48.61957	-3.53	Lanvellec	Roscoat (affluent)	NA	2020	10	NA	NA	0	NA	NA	Favorable	NA	0	NA	NA	NA
